filing_id,from_entity,from_type,to_entity,to_type,amount,payment_type,expense_date,period_start_date,period_end_date,report_date,is_alameda
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1503416,"BAYER HEALTHCARE, LLC",LOBBYING FIRM,Alameda County Meals on Wheels,VENDOR/SERVICE PROVIDER,200.0,Dinner,2010-04-23,2010-04-01,2010-06-30,2010-07-22,True
1845384,CALIFORNIA ASSOCIATION OF PUBLIC HOSPITALS & HEALTH SYSTEMS,LOBBYING FIRM,SILVERADO STAGES,VENDOR/SERVICE PROVIDER,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,2014-01-01,2014-03-31,2014-04-29,True
1845384,CALIFORNIA ASSOCIATION OF PUBLIC HOSPITALS & HEALTH SYSTEMS,LOBBYING FIRM,SILVERADO STAGES,VENDOR/SERVICE PROVIDER,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,2014-01-01,2014-03-31,2014-04-29,True
1845384,CALIFORNIA ASSOCIATION OF PUBLIC HOSPITALS & HEALTH SYSTEMS,LOBBYING FIRM,SILVERADO STAGES,VENDOR/SERVICE PROVIDER,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,2014-01-01,2014-03-31,2014-04-29,True
