filing_id,amendment_id,line_item,employer_last_name,employer_first_name,employer_full_name,fees_amount,reimbursement_amount,advance_amount,period_total,cumulative_total,form_type,payment_tier,is_alameda
1117003,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,4805.0,85.25,0.0,4890.25,4890.25,F625P2,Medium (1K+),True
1215816,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,6630.0,40.11,0.0,6670.11,75674.03,F625P2,Medium (1K+),True
1167117,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,11891.0,0.0,0.0,11891.0,51587.25,F625P2,High (10K+),True
1133589,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,24444.5,43.17,0.0,24487.67,29377.92,F625P2,High (10K+),True
1189693,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,17265.0,151.67,0.0,17416.67,69003.92,F625P2,High (10K+),True
1145771,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,10245.5,72.83,0.0,10318.33,39696.25,F625P2,High (10K+),True
1282228,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,1533.5,0.48,0.0,1533.98,4669.4,F625P2,Medium (1K+),True
1295493,2,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,2666.25,12.35,0.0,2678.6,7348.0,F625P2,Medium (1K+),True
1282228,2,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,1533.5,0.48,0.0,1533.98,4669.4,F625P2,Medium (1K+),True
1261109,2,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,3135.0,0.42,0.0,3135.42,3135.42,F625P2,Medium (1K+),True
1215816,1,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,6630.0,40.11,0.0,6670.11,75674.03,F625P2,Medium (1K+),True
1236868,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,9000.0,0.0,0.0,9000.0,84674.03,F625P2,Medium (1K+),True
