filing_id,amendment_id,filer_id,filer_last_name,filer_first_name,entity_code,form_type,firm_name,statement_firm,report_date,qualified_date,effective_date,is_alameda
1020118,0,1266035,Deputy Sheriffs' Association of Alameda County,nan,LEM,F602,nan,nan,2004-06-08,,2004-05-20,True
2538169,0,C27075,CITY OF ALAMEDA,nan,LEM,F602,nan,nan,2020-12-23,,2021-01-01,True
2116046,0,C27075,ALAMEDA; CITY OF,nan,LEM,F602,nan,nan,2016-12-30,,2017-01-01,True
2116046,0,C27075,ALAMEDA; CITY OF,nan,LEM,F602,nan,nan,2016-12-30,,2017-01-01,True
2538169,0,C27075,CITY OF ALAMEDA,nan,LEM,F602,nan,nan,2020-12-23,,2021-01-01,True
1389589,0,C28290,ALAMEDA CORRIDOR-EAST CONSTRUCTION AUTHORITY,nan,LEM,F602,nan,nan,2009-01-14,,2009-01-01,True
1389589,0,C28290,ALAMEDA CORRIDOR-EAST CONSTRUCTION AUTHORITY,nan,LEM,F602,nan,nan,2009-01-14,,2009-01-01,True
1556574,0,C28290,ALAMEDA CORRIDOR-EAST CONSTRUCTION AUTHORITY,nan,LEM,F602,nan,nan,2011-01-03,,2011-01-01,True
1556574,0,C28290,ALAMEDA CORRIDOR-EAST CONSTRUCTION AUTHORITY,nan,LEM,F602,nan,nan,2011-01-03,,2011-01-01,True
1746919,0,1250137,ALAMEDA COUNTY WASTE MANAGEMENT AUTHORITY,nan,LEM,F602,nan,nan,2013-02-11,,2013-01-01,True
2115321,0,1250137,ALAMEDA COUNTY WASTE MANAGEMENT AUTHORITY,nan,LEM,F602,nan,nan,2016-12-29,,2017-01-01,True
2996948,0,C00235,COUNTY OF ALAMEDA,nan,LEM,F602,nan,nan,2025-01-08,,2025-01-08,True
1654456,0,C27075,"ALAMEDA, CITY OF",nan,LEM,F602,nan,nan,2012-04-25,,2012-03-01,True
1654456,0,C27075,"ALAMEDA, CITY OF",nan,LEM,F602,nan,nan,2012-04-25,,2012-03-01,True
1401110,0,1251859,ZONE 7 OF ALAMEDA COUNTY FLOOD CONTROL & WATER CONSERVATION DISTRICT,nan,LEM,F602,nan,nan,2008-12-03,,2009-01-01,True
2767338,0,1251859,ZONE 7 OF ALAMEDA COUNTY FLOOD CONTROL & WATER CONSERVATION DISTRICT,nan,LEM,F602,nan,nan,2022-11-15,,2023-01-01,True
1555639,0,1251859,ZONE 7 OF ALAMEDA COUNTY FLOOD CONTROL & WATER CONSERVATION DISTRICT,nan,LEM,F602,nan,nan,2010-11-12,,2011-01-01,True
1555639,0,1251859,ZONE 7 OF ALAMEDA COUNTY FLOOD CONTROL & WATER CONSERVATION DISTRICT,nan,LEM,F602,nan,nan,2010-11-12,,2011-01-01,True
1222720,0,1251859,ZONE 7 OF ALAMEDA COUNTY FLOOD CONTROL & WATER CONSERVATION DISTRICT 'ZONE 7',nan,LEM,F602,nan,nan,2006-11-29,,2007-01-01,True
2541825,0,C26001,ALAMEDA COUNTY WATER DISTRICT,nan,LEM,F602,nan,nan,2020-12-31,,2021-01-01,True
1925747,0,C28209,ALAMEDA COUNTY OFFICE OF EDUCATION,nan,LEM,F602,nan,nan,2015-01-15,,2015-01-01,True
1739335,0,C28209,ALAMEDA COUNTY OFFICE OF EDUCATION,nan,LEM,F602,nan,nan,2013-01-31,,2013-01-01,True
1739335,0,C28209,ALAMEDA COUNTY OFFICE OF EDUCATION,nan,LEM,F602,nan,nan,2013-01-31,,2013-01-01,True
1752086,0,1255805,ALAMEDA COUNTY MEDICAL CENTER,nan,LEM,F602,nan,nan,2013-01-18,,2013-01-18,True
2436538,0,C27075,ALAMEDA; CITY OF,nan,LEM,F602,nan,nan,2020-01-22,,2020-01-22,True
2436538,0,C27075,ALAMEDA; CITY OF,nan,LEM,F602,nan,nan,2020-01-22,,2020-01-22,True
