table,column,current_type,nullable,needs_conversion
cvr_lobby_disclosure_cd,RPT_DATE,STRING,YES,True
cvr_lobby_disclosure_cd,FROM_DATE,STRING,YES,True
cvr_lobby_disclosure_cd,THRU_DATE,STRING,YES,True
cvr_lobby_disclosure_cd,CUM_BEG_DT,STRING,YES,True
cvr_lobby_disclosure_cd,SIG_DATE,STRING,YES,True
cvr_registration_cd,RPT_DATE,STRING,YES,True
cvr_registration_cd,QUAL_DATE,STRING,YES,True
cvr_registration_cd,EFF_DATE,STRING,YES,True
cvr_registration_cd,SIG_DATE,STRING,YES,True
cvr_registration_cd,COMPLET_DT,STRING,YES,True
filername_cd,EFFECT_DT,STRING,YES,True
latt_cd,PMT_DATE,STRING,YES,True
latt_cd,CUMBEG_DT,STRING,YES,True
lccm_cd,CTRIB_DATE,STRING,YES,True
lemp_cd,EFF_DATE,STRING,YES,True
lexp_cd,EXPN_DATE,STRING,YES,True
loth_cd,PMT_DATE,STRING,YES,True
