table,old_column,new_column,rows_updated,status
cvr_lobby_disclosure_cd,RPT_DATE,RPT_DATE_DATE,4266899,success
cvr_lobby_disclosure_cd,FROM_DATE,FROM_DATE_DATE,4266795,success
cvr_lobby_disclosure_cd,THRU_DATE,THRU_DATE_DATE,4266795,success
cvr_lobby_disclosure_cd,CUM_BEG_DT,CUM_BEG_DT_DATE,3070369,success
cvr_lobby_disclosure_cd,SIG_DATE,SIG_DATE_DATE,4249005,success
cvr_registration_cd,RPT_DATE,RPT_DATE_DATE,764340,success
cvr_registration_cd,QUAL_DATE,QUAL_DATE_DATE,191172,success
cvr_registration_cd,EFF_DATE,EFF_DATE_DATE,319010,success
cvr_registration_cd,SIG_DATE,SIG_DATE_DATE,761987,success
cvr_registration_cd,COMPLET_DT,COMPLET_DT_DATE,97317,success
filername_cd,EFFECT_DT,EFFECT_DT_DATE,23678785,success
latt_cd,PMT_DATE,PMT_DATE_DATE,747466,success
latt_cd,CUMBEG_DT,CUMBEG_DT_DATE,745094,success
lccm_cd,CTRIB_DATE,CTRIB_DATE_DATE,971759,success
lemp_cd,EFF_DATE,EFF_DATE_DATE,4157063,success
lexp_cd,EXPN_DATE,EXPN_DATE_DATE,877422,success
loth_cd,PMT_DATE,PMT_DATE_DATE,115591,success
